date,campanhaId,nome,motivo
2025-07-04,4,Campanha_4,Cliques 299 abaixo de 329 (média 7d)
2025-07-04,6,Campanha_6,Cliques 437 abaixo de 522 (média 7d)
2025-07-06,3,Campanha_3,Cliques 1011 abaixo de 1393 (média 7d)
2025-07-06,4,Campanha_4,Cliques 309 abaixo de 327 (média 7d)
2025-07-07,6,Campanha_6,Cliques 458 abaixo de 476 (média 7d)
2025-07-14,3,Campanha_3,Cliques 1218 abaixo de 1246 (média 7d)
2025-07-14,5,Campanha_5,Cliques 889 abaixo de 1079 (média 7d)
2025-07-19,6,Campanha_6,Cliques 575 abaixo de 640 (média 7d)
2025-07-26,6,Campanha_6,Cliques 235 abaixo de 649 (média 7d)
2025-07-27,5,Campanha_5,Cliques 987 abaixo de 1163 (média 7d)
2025-07-27,6,Campanha_6,Cliques 159 abaixo de 599 (média 7d)
2025-07-28,2,Campanha_2,Cliques 288 abaixo de 698 (média 7d)
2025-07-28,5,Campanha_5,Cliques 943 abaixo de 1120 (média 7d)
2025-08-02,4,Campanha_4,Cliques 395 abaixo de 406 (média 7d)
2025-08-03,4,Campanha_4,Cliques 275 abaixo de 387 (média 7d)
2025-08-03,6,Campanha_6,Cliques 641 abaixo de 686 (média 7d)
2025-08-04,4,Campanha_4,Cliques 159 abaixo de 354 (média 7d)
2025-08-04,5,Campanha_5,Cliques 526 abaixo de 1109 (média 7d)
2025-08-04,6,Campanha_6,Cliques 455 abaixo de 634 (média 7d)
2025-08-08,1,Campanha_1,Cliques 1102 abaixo de 1744 (média 7d)
2025-08-10,2,Campanha_2,Cliques 662 abaixo de 770 (média 7d)
2025-08-10,6,Campanha_6,Cliques 451 abaixo de 564 (média 7d)
2025-08-11,2,Campanha_2,Cliques 729 abaixo de 756 (média 7d)
2025-08-11,3,Campanha_3,Cliques 1376 abaixo de 1450 (média 7d)
2025-08-11,5,Campanha_5,Cliques 970 abaixo de 1128 (média 7d)
2025-08-17,4,Campanha_4,Cliques 375 abaixo de 397 (média 7d)
2025-08-18,6,Campanha_6,Cliques 644 abaixo de 670 (média 7d)
2025-08-21,4,Campanha_4,Cliques 337 abaixo de 362 (média 7d)
2025-08-23,4,Campanha_4,Cliques 294 abaixo de 352 (média 7d)
2025-08-24,3,Campanha_3,Cliques 1196 abaixo de 1219 (média 7d)
2025-08-24,6,Campanha_6,Cliques 232 abaixo de 627 (média 7d)
2025-08-25,3,Campanha_3,Cliques 771 abaixo de 1141 (média 7d)
2025-08-31,4,Campanha_4,Cliques 247 abaixo de 348 (média 7d)
2025-09-01,4,Campanha_4,Cliques 285 abaixo de 335 (média 7d)
2025-09-01,6,Campanha_6,Cliques 533 abaixo de 536 (média 7d)
2025-09-07,5,Campanha_5,Cliques 417 abaixo de 1005 (média 7d)
2025-09-08,6,Campanha_6,Cliques 349 abaixo de 543 (média 7d)
2025-09-09,2,Campanha_2,Cliques 319 abaixo de 710 (média 7d)
2025-09-12,4,Campanha_4,Cliques 349 abaixo de 353 (média 7d)
2025-09-14,3,Campanha_3,Cliques 1147 abaixo de 1296 (média 7d)
2025-09-15,4,Campanha_4,Cliques 257 abaixo de 328 (média 7d)
2025-09-16,1,Campanha_1,Cliques 982 abaixo de 2047 (média 7d)
2025-09-17,4,Campanha_4,Cliques 177 abaixo de 264 (média 7d)
2025-09-19,3,Campanha_3,Cliques 624 abaixo de 1074 (média 7d)
2025-09-21,4,Campanha_4,Cliques 262 abaixo de 289 (média 7d)
2025-09-21,6,Campanha_6,Cliques 191 abaixo de 596 (média 7d)
